1557708218,4,1
1557708218,7,2
1557708218,18,3
1557708518,16,1
1557708518,14,2
1557708518,16,3
1557708818,7,1
1557708818,13,2
1557708818,10,3
1557709118,2,1
1557709118,3,2
1557709118,8,3
1557709418,11,1
1557709418,20,2
1557709418,4,3
1557709718,7,1
1557709718,1,2
1557709718,7,3
1557710018,13,1
1557710018,17,2
1557710018,12,3
1557710318,9,1
1557710318,8,2
1557710318,10,3
1557710618,3,1
1557710618,11,2
1557710618,3,3
1557710918,4,1
1557710918,8,2
1557710918,16,3
1557711218,10,1
1557711218,3,2
1557711218,3,3
1557711518,19,1
1557711518,10,2
1557711518,8,3
1557711818,14,1
1557711818,17,2
1557711818,12,3
1557712118,3,1
1557712118,10,2
1557712118,14,3
1557712418,2,1
1557712418,20,2
1557712418,5,3
1557712718,18,1
1557712718,19,2
1557712718,5,3
1557713018,16,1
1557713018,11,2
1557713018,14,3
1557713318,7,1
1557713318,12,2
1557713318,1,3
1557713618,17,1
1557713618,14,2
1557713618,3,3
1557713918,11,1
1557713918,17,2
1557713918,2,3
1557714218,6,1
1557714218,6,2
1557714218,5,3
1557714518,8,1
1557714518,17,2
1557714518,6,3
1557714818,7,1
1557714818,10,2
1557714818,14,3
1557715118,18,1
1557715118,5,2
1557715118,16,3
1557715418,3,1
1557715418,6,2
1557715418,15,3
1557715718,8,1
1557715718,15,2
1557715718,5,3
1557716018,4,1
1557716018,11,2
1557716018,8,3
1557716318,9,1
1557716318,17,2
1557716318,19,3
1557716618,9,1
1557716618,5,2
1557716618,4,3
1557716918,12,1
1557716918,15,2
1557716918,20,3
1557717218,13,1
1557717218,1,2
1557717218,17,3
1557717518,9,1
1557717518,20,2
1557717518,13,3
1557717818,7,1
1557717818,7,2
1557717818,15,3
1557718118,20,1
1557718118,16,2
1557718118,11,3
1557718418,15,1
1557718418,19,2
1557718418,8,3
1557718718,2,1
1557718718,18,2
1557718718,3,3
